Entity,Code,Year,World,Killed
World,OWID_WRL,1961,3091844000,989865097
World,OWID_WRL,1962,3150421000,1038057898
World,OWID_WRL,1963,3211001000,1089142724
World,OWID_WRL,1964,3273978000,1105712616
World,OWID_WRL,1965,3339584000,1142604260
World,OWID_WRL,1966,3407923000,1176967561
World,OWID_WRL,1967,3478770000,1206819987
World,OWID_WRL,1968,3551599000,1226311098
World,OWID_WRL,1969,3625681000,1216905270
World,OWID_WRL,1970,3700437000,1245317652
World,OWID_WRL,1971,3775760000,1305334837
World,OWID_WRL,1972,3851650000,1331628941
World,OWID_WRL,1973,3927780000,1321424369
World,OWID_WRL,1974,4003794000,1339811217
World,OWID_WRL,1975,4079481000,1373210229
World,OWID_WRL,1976,4154667000,1374490156
World,OWID_WRL,1977,4229506000,1404415711
World,OWID_WRL,1978,4304534000,1441640385
World,OWID_WRL,1979,4380506000,1490993816
World,OWID_WRL,1980,4458004000,1550514501
World,OWID_WRL,1981,4536997000,1569507284
World,OWID_WRL,1982,4617387000,1570851682
World,OWID_WRL,1983,4699569000,1616352621
World,OWID_WRL,1984,4784012000,1647560811
World,OWID_WRL,1985,4870922000,1687483385
World,OWID_WRL,1986,4960568000,1719139807
World,OWID_WRL,1987,5052522000,1764066893
World,OWID_WRL,1988,5145426000,1808147885
World,OWID_WRL,1989,5237442000,1852516040
World,OWID_WRL,1990,5327231000,1892172945
World,OWID_WRL,1991,5414289000,1913704542
World,OWID_WRL,1992,5498920000,1939065673
World,OWID_WRL,1993,5581598000,1963822183
World,OWID_WRL,1994,5663150000,2008110913
World,OWID_WRL,1995,5744213000,2045929779
World,OWID_WRL,1996,5824892000,2025959675
World,OWID_WRL,1997,5905046000,2054115750
World,OWID_WRL,1998,5984794000,2138899457
World,OWID_WRL,1999,6064239000,2196437165
World,OWID_WRL,2000,6143494000,2227078180
World,OWID_WRL,2001,6222627000,2224957355
World,OWID_WRL,2002,6301773000,2271010408
World,OWID_WRL,2003,6381185000,2342042428
World,OWID_WRL,2004,6461159000,2383925980
World,OWID_WRL,2005,6541907000,2428878167
World,OWID_WRL,2006,6623518000,2484455920
World,OWID_WRL,2007,6705947000,2543779598
World,OWID_WRL,2008,6789089000,2583222776
World,OWID_WRL,2009,6872767000,2609506201
World,OWID_WRL,2010,6956824000,2678058467
World,OWID_WRL,2011,7041194000,2678926484
World,OWID_WRL,2012,7125828000,2741227529
World,OWID_WRL,2013,7210582000,2794787774
World,OWID_WRL,2014,7295291000,2832980322
World,OWID_WRL,2015,7379797000,2863917537
World,OWID_WRL,2016,7464022000,2887165233
World,OWID_WRL,2017,7547859000,2886198354
World,OWID_WRL,2018,7631091000,2909038003
