Entity,Code,Year,World
Our World In Data,,1950,2536431000
Our World In Data,,1951,2584034000
Our World In Data,,1952,2630862000
Our World In Data,,1953,2677609000
Our World In Data,,1954,2724847000
Our World In Data,,1955,2773020000
Our World In Data,,1956,2822443000
Our World In Data,,1957,2873306000
Our World In Data,,1958,2925687000
Our World In Data,,1959,2979576000
Our World In Data,,1960,3034950000
Our World In Data,,1961,3091844000
Our World In Data,,1962,3150421000
Our World In Data,,1963,3211001000
Our World In Data,,1964,3273978000
Our World In Data,,1965,3339584000
Our World In Data,,1966,3407923000
Our World In Data,,1967,3478770000
Our World In Data,,1968,3551599000
Our World In Data,,1969,3625681000
Our World In Data,,1970,3700437000
Our World In Data,,1971,3775760000
Our World In Data,,1972,3851650000
Our World In Data,,1973,3927780000
Our World In Data,,1974,4003794000
Our World In Data,,1975,4079481000
Our World In Data,,1976,4154667000
Our World In Data,,1977,4229506000
Our World In Data,,1978,4304534000
Our World In Data,,1979,4380506000
Our World In Data,,1980,4458004000
Our World In Data,,1981,4536997000
Our World In Data,,1982,4617387000
Our World In Data,,1983,4699569000
Our World In Data,,1984,4784012000
Our World In Data,,1985,4870922000
Our World In Data,,1986,4960568000
Our World In Data,,1987,5052522000
Our World In Data,,1988,5145426000
Our World In Data,,1989,5237442000
Our World In Data,,1990,5327231000
Our World In Data,,1991,5414289000
Our World In Data,,1992,5498920000
Our World In Data,,1993,5581598000
Our World In Data,,1994,5663150000
Our World In Data,,1995,5744213000
Our World In Data,,1996,5824892000
Our World In Data,,1997,5905046000
Our World In Data,,1998,5984794000
Our World In Data,,1999,6064239000
Our World In Data,,2000,6143494000
Our World In Data,,2001,6222627000
Our World In Data,,2002,6301773000
Our World In Data,,2003,6381185000
Our World In Data,,2004,6461159000
Our World In Data,,2005,6541907000
Our World In Data,,2006,6623518000
Our World In Data,,2007,6705947000
Our World In Data,,2008,6789089000
Our World In Data,,2009,6872767000
Our World In Data,,2010,6956824000
Our World In Data,,2011,7041194000
Our World In Data,,2012,7125828000
Our World In Data,,2013,7210582000
Our World In Data,,2014,7295291000
Our World In Data,,2015,7379797000
Our World In Data,,2016,7464022000
Our World In Data,,2017,7547859000
Our World In Data,,2018,7631091000
Our World In Data,,2019,7713468000
