name,code,Year,forest
Afghanistan,AFG,2020,1.850994088
Africa,AFR,2020,21.30390915
Albania,ALB,2020,28.7919708
Algeria,DZA,2020,0.81830896
American Samoa,ASM,2020,85.65
Americas,AME,2020,41.30532469
Andorra,AND,2020,34.04255319
Angola,AGO,2020,53.42695115
Anguilla,AIA,2020,61.11111111
Antigua and Barbuda,ATG,2020,18.45454545
Argentina,ARG,2020,10.44071488
Armenia,ARM,2020,11.5374078
Aruba,ABW,2020,2.333333333
Australia,AUS,2020,17.42131456
Austria,AUT,2020,47.25096946
Azerbaijan,AZE,2020,13.69153904
Bahamas,BHS,2020,50.93506494
Bahrain,BHR,2020,0.897435897
Bangladesh,BGD,2020,14.46877161
Barbados,BRB,2020,14.65116279
Belarus,BLR,2020,43.19227548
Belgium,BEL,2020,22.76420079
Belize,BLZ,2020,55.98640947
Benin,BEN,2020,27.80374246
Bermuda,BMU,2020,18.51851852
Bhutan,BTN,2020,71.44190436
Bolivia,BOL,2020,46.92491461
Bosnia and Herzegovina,BIH,2020,42.73261719
Botswana,BWA,2020,26.91705045
Brazil,BRA,2020,59.41747805
British Virgin Islands,VGB,2020,24.13333333
Brunei,BRN,2020,72.10626186
Bulgaria,BGR,2020,35.86035372
Burkina Faso,BFA,2020,22.72076023
Burundi,BDI,2020,10.8894081
Cambodia,KHM,2020,45.7079651
Cameroon,CMR,2020,43.02951069
Canada,CAN,2020,38.69551251
Cape Verde,CPV,2020,11.34491315
Cayman Islands,CYM,2020,53
Central African Republic,CAF,2020,35.80050724
Chad,TCD,2020,3.425190597
Chile,CHL,2020,24.49215367
China,CHN,2020,23.4313229
Colombia,COL,2020,53.30501127
Comoros,COM,2020,17.68941429
Congo,COG,2020,64.26354319
Cook Islands,COK,2020,64.95833333
Costa Rica,CRI,2020,59.43732863
Croatia,HRV,2020,34.26594805
Cuba,CUB,2020,31.23314066
Cyprus,CYP,2020,18.67207792
Czech Republic,CZE,2020,34.67284031
Democratic Republic of Congo,COD,2020,55.64731259
Denmark,DNK,2020,15.711
Djibouti,DJI,2020,0.250215703
Dominica,DMA,2020,63.82666667
Dominican Republic,DOM,2020,44.3821155
Ecuador,ECU,2020,50.32142857
Egypt,EGY,2020,0.045185594
El Salvador,SLV,2020,28.17953668
Equatorial Guinea,GNQ,2020,87.28770053
Eritrea,ERI,2020,10.44811881
Estonia,EST,2020,56.09385783
Ethiopia,ETH,2020,15.11449775
Falkland Islands,FLK,2020,0
Fiji,FJI,2020,62.39846743
Finland,FIN,2020,73.73321927
France,FRA,2020,31.50904837
French Polynesia,PYF,2020,40.83606557
Gabon,GAB,2020,91.32068149
Gambia,GMB,2020,23.97924901
Georgia,GEO,2020,40.61591596
Germany,DEU,2020,32.68454647
Ghana,GHA,2020,35.09585128
Gibraltar,GIB,2020,0
Greece,GRC,2020,30.26997673
Greenland,GRL,2020,0.000535997
Grenada,GRD,2020,52.05882353
Guadeloupe,GLP,2020,44.39506173
Guam,GUM,2020,51.85185185
Guatemala,GTM,2020,32.92086599
Guinea,GIN,2020,25.18720495
Guinea-Bissau,GNB,2020,70.4128734
Guyana,GUY,2020,93.5501143
Haiti,HTI,2020,12.60159652
Honduras,HND,2020,56.83492716
Hungary,HUN,2020,22.49627438
Iceland,ISL,2020,0.512219451
India,IND,2020,24.27022827
Indonesia,IDN,2020,49.07178037
Iran,IRN,2020,6.601261082
Iraq,IRQ,2020,1.900361184
Ireland,IRL,2020,11.35172013
Isle of Man,IMN,2020,6.070175439
Israel,ISR,2020,6.469500924
Italy,ITA,2020,32.5223703
Jamaica,JAM,2020,55.11449677
Japan,JPN,2020,68.40877915
Jordan,JOR,2020,1.09822032
Kazakhstan,KAZ,2020,1.279653295
Kenya,KEN,2020,6.344818498
Kiribati,KIR,2020,1.456790123
Kuwait,KWT,2020,0.350729517
Kyrgyzstan,KGZ,2020,6.858081335
Laos,LAO,2020,71.9042461
Latvia,LVA,2020,54.91531154
Lebanon,LBN,2020,14.01075269
Lesotho,LSO,2020,1.137022398
Liberia,LBR,2020,79.08471761
Libya,LBY,2020,0.123327688
Liechtenstein,LIE,2020,41.875
Lithuania,LTU,2020,35.13673153
Luxembourg,LUX,2020,36.50205761
Macedonia,MKD,2020,39.71015067
Madagascar,MDG,2020,21.36440358
Malawi,MWI,2020,23.77704709
Malaysia,MYS,2020,58.17695937
Maldives,MDV,2020,2.733333333
Mali,MLI,2020,10.89666363
Malta,MLT,2020,1.4375
Marshall Islands,MHL,2020,52.22222222
Martinique,MTQ,2020,49.33018868
Mauritania,MRT,2020,0.30348307
Mauritius,MUS,2020,19.09852217
Mayotte,MYT,2020,37.13903743
Mexico,MEX,2020,33.79309139
Monaco,MCO,2020,0
Mongolia,MNG,2020,9.101127535
Montenegro,MNE,2020,61.48698885
Montserrat,MSR,2020,25
Morocco,MAR,2020,12.86688326
Mozambique,MOZ,2020,46.72519647
Myanmar,MMR,2020,43.72599151
Namibia,NAM,2020,8.06386571
Nauru,NRU,2020,0
Nepal,NPL,2020,41.59072201
Netherlands,NLD,2020,10.97416097
New Caledonia,NCL,2020,45.84354486
New Zealand,NZL,2020,37.57012647
Nicaragua,NIC,2020,28.31585508
Niger,NER,2020,0.852372306
Nigeria,NGA,2020,23.74578653
Niue,NIU,2020,72.57692308
Norfolk Island,NFK,2020,12.25
North Korea,PRK,2020,50.07964455
Northern Mariana Islands,MNP,2020,52.95652174
Norway,NOR,2020,33.35862527
Oman,OMN,2020,0.008077544
Pakistan,PAK,2020,4.833307389
Palau,PLW,2020,90.02173913
Palestine,PSE,2020,1.684385382
Panama,PAN,2020,56.85159201
Papua New Guinea,PNG,2020,79.17625756
Paraguay,PRY,2020,40.52922225
Peru,PER,2020,56.50810156
Philippines,PHL,2020,24.10903176
Pitcairn,PCN,2020,74.46808511
Poland,POL,2020,30.97096574
Portugal,PRT,2020,36.15499489
Puerto Rico,PRI,2020,55.95603157
Qatar,QAT,2020,0
Romania,ROU,2020,30.11582928
Russia,RUS,2020,49.78433608
Rwanda,RWA,2020,11.18767734
Saint Helena,SHN,2020,5.128205128
Saint Kitts and Nevis,KNA,2020,42.30769231
Saint Lucia,LCA,2020,34.04918033
Saint Pierre and Miquelon,SPM,2020,5.304347826
Saint Vincent and the Grenadines,VCT,2020,73.17948718
Samoa,WSM,2020,57.12720848
San Marino,SMR,2020,16.66666667
Sao Tome and Principe,STP,2020,54.0625
Saudi Arabia,SAU,2020,0.454484135
Senegal,SEN,2020,41.90598868
Serbia,SRB,2020,31.13023096
Seychelles,SYC,2020,73.26086957
Sierra Leone,SLE,2020,35.11886949
Singapore,SGP,2020,21.96050776
Sint Maarten (Dutch part),SXM,2020,10.88235294
Slovakia,SVK,2020,40.05615641
Slovenia,SVN,2020,61.46706988
Solomon Islands,SLB,2020,90.13826367
Somalia,SOM,2020,9.532311028
South Africa,ZAF,2020,14.05509072
South Korea,KOR,2020,64.47543842
South Sudan,SSD,2020,11.32536917
Spain,ESP,2020,37.17799724
Sri Lanka,LKA,2020,34.13988658
Sudan,SDN,2020,9.928165298
Suriname,SUR,2020,97.41211538
Swaziland,SWZ,2020,28.92790698
Sweden,SWE,2020,68.69460607
Switzerland,CHE,2020,32.11633355
Syria,SYR,2020,2.843108425
Tajikistan,TJK,2020,3.053534116
Tanzania,TZA,2020,51.64258298
Thailand,THA,2020,38.89878447
Timor,TLS,2020,61.94351042
Togo,TGO,2020,22.23331495
Tokelau,TKL,2020,0
Tonga,TON,2020,12.43055556
Trinidad and Tobago,TTO,2020,44.48148148
Tunisia,TUN,2020,4.523236354
Turkey,TUR,2020,28.8714837
Turkmenistan,TKM,2020,8.782159045
Turks and Caicos Islands,TCA,2020,11.07368421
Tuvalu,TUV,2020,33.33333333
Uganda,UGA,2020,11.65918612
Ukraine,UKR,2020,16.72708441
United Arab Emirates,ARE,2020,4.467755562
United Kingdom,GBR,2020,13.18563221
United States,USA,2020,33.86692641
United States Virgin Islands,VIR,2020,56.88571429
Uruguay,URY,2020,11.60438807
Uzbekistan,UZB,2020,8.374418673
Vanuatu,VUT,2020,36.28383921
Vatican,VAT,2020,0
Venezuela,VEN,2020,52.41301514
Vietnam,VNM,2020,47.22511046
Western Sahara,ESH,2020,2.500263158
World,OWID_WRL,2020,31.15615131
Yemen,YEM,2020,1.039831809
Zambia,ZMB,2020,60.28333714
Zimbabwe,ZWE,2020,45.09391237
