Entity,Year,Glob,NHem,SHem
Global,1850,-0.373,-0.336,-0.408
Global,1851,-0.218,-0.159,-0.277
Global,1852,-0.228,-0.107,-0.349
Global,1853,-0.269,-0.177,-0.361
Global,1854,-0.248,-0.071,-0.425
Global,1855,-0.272,-0.19,-0.354
Global,1856,-0.358,-0.378,-0.336
Global,1857,-0.461,-0.405,-0.516
Global,1858,-0.467,-0.4,-0.528
Global,1859,-0.284,-0.215,-0.355
Global,1860,-0.343,-0.363,-0.33
Global,1861,-0.407,-0.295,-0.516
Global,1862,-0.524,-0.668,-0.38
Global,1863,-0.278,-0.195,-0.361
Global,1864,-0.494,-0.521,-0.472
Global,1865,-0.279,-0.258,-0.312
Global,1866,-0.251,-0.21,-0.298
Global,1867,-0.321,-0.338,-0.299
Global,1868,-0.238,-0.128,-0.35
Global,1869,-0.262,-0.127,-0.397
Global,1870,-0.276,-0.203,-0.349
Global,1871,-0.335,-0.397,-0.266
Global,1872,-0.227,-0.185,-0.271
Global,1873,-0.304,-0.295,-0.312
Global,1874,-0.368,-0.272,-0.466
Global,1875,-0.395,-0.508,-0.285
Global,1876,-0.384,-0.345,-0.421
Global,1877,-0.075,0,-0.154
Global,1878,0.035,0.192,-0.117
Global,1879,-0.23,-0.222,-0.237
Global,1880,-0.227,-0.242,-0.214
Global,1881,-0.2,-0.238,-0.16
Global,1882,-0.213,-0.244,-0.184
Global,1883,-0.296,-0.359,-0.228
Global,1884,-0.409,-0.474,-0.344
Global,1885,-0.389,-0.367,-0.408
Global,1886,-0.367,-0.338,-0.398
Global,1887,-0.418,-0.356,-0.481
Global,1888,-0.307,-0.266,-0.35
Global,1889,-0.171,-0.138,-0.207
Global,1890,-0.416,-0.363,-0.476
Global,1891,-0.33,-0.289,-0.378
Global,1892,-0.455,-0.466,-0.45
Global,1893,-0.473,-0.543,-0.405
Global,1894,-0.41,-0.375,-0.442
Global,1895,-0.39,-0.368,-0.414
Global,1896,-0.186,-0.152,-0.221
Global,1897,-0.206,-0.144,-0.273
Global,1898,-0.412,-0.288,-0.538
Global,1899,-0.289,-0.22,-0.36
Global,1900,-0.203,-0.096,-0.314
Global,1901,-0.259,-0.124,-0.394
Global,1902,-0.402,-0.367,-0.439
Global,1903,-0.479,-0.4,-0.561
Global,1904,-0.52,-0.485,-0.556
Global,1905,-0.377,-0.336,-0.421
Global,1906,-0.283,-0.199,-0.367
Global,1907,-0.465,-0.477,-0.457
